FID,file_name,impd_code,site_name,site_code,Contributo,Longitude,Latitude,Reference
556, , ,Quebec,85,Arseneault,-77.27058558,52.40242495,"H??on, Jessie, Dominique Arseneault, and Marc-Andr?? Parisien. ""Resistance of the boreal forest to high burn rates.""?ßProceedings of the National Academy of Sciences?ß111, no. 38 (2014): 13888-13893."
557, , ,Quebec,86,Arseneault,-77.2572576,52.40152889,"H??on, Jessie, Dominique Arseneault, and Marc-Andr?? Parisien. ""Resistance of the boreal forest to high burn rates.""?ßProceedings of the National Academy of Sciences?ß111, no. 38 (2014): 13888-13893."
558, , ,Quebec,87,Arseneault,-77.22113757,52.39849157,"H??on, Jessie, Dominique Arseneault, and Marc-Andr?? Parisien. ""Resistance of the boreal forest to high burn rates.""?ßProceedings of the National Academy of Sciences?ß111, no. 38 (2014): 13888-13893."
559, , ,Quebec,88,Arseneault,-77.1939139,52.3999237,"H??on, Jessie, Dominique Arseneault, and Marc-Andr?? Parisien. ""Resistance of the boreal forest to high burn rates.""?ßProceedings of the National Academy of Sciences?ß111, no. 38 (2014): 13888-13893."
560, , ,Quebec,89,Arseneault,-77.15056955,52.395048,"H??on, Jessie, Dominique Arseneault, and Marc-Andr?? Parisien. ""Resistance of the boreal forest to high burn rates.""?ßProceedings of the National Academy of Sciences?ß111, no. 38 (2014): 13888-13893."
561, , ,Quebec,90,Arseneault,-77.13282792,52.38713092,"H??on, Jessie, Dominique Arseneault, and Marc-Andr?? Parisien. ""Resistance of the boreal forest to high burn rates.""?ßProceedings of the National Academy of Sciences?ß111, no. 38 (2014): 13888-13893."
562, , ,Quebec,91,Arseneault,-77.11474345,52.36750882,"H??on, Jessie, Dominique Arseneault, and Marc-Andr?? Parisien. ""Resistance of the boreal forest to high burn rates.""?ßProceedings of the National Academy of Sciences?ß111, no. 38 (2014): 13888-13893."
563, , ,Quebec,92,Arseneault,-77.10769852,52.35542717,"H??on, Jessie, Dominique Arseneault, and Marc-Andr?? Parisien. ""Resistance of the boreal forest to high burn rates.""?ßProceedings of the National Academy of Sciences?ß111, no. 38 (2014): 13888-13893."
564, , ,Quebec,93,Arseneault,-77.09719886,52.33337929,"H??on, Jessie, Dominique Arseneault, and Marc-Andr?? Parisien. ""Resistance of the boreal forest to high burn rates.""?ßProceedings of the National Academy of Sciences?ß111, no. 38 (2014): 13888-13893."
87, , ,Desert National Wildlife Refuge,DSR,Biondi_F,-115.221634,36.587564, Kilpatrick et al. 2019
88, , ,Clover Mtns.,CLM,Biondi_F,-114.467222,37.459167, Kilpatrick et al. 2013
91, , ,Bathroom Fire,BRF,Brown_PM,-121.5068296,44.51344916,unpublished
102, , ,Prairie Farm Fire,PFF,Brown_PM,-121.5091918,44.54522726,unpublished
565, , ,Mica Mountain,02_02,Farris_CA,-110.5307188,32.23272903,Farris_et_al_2010
